City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lompoc,20,US,1599962858,87,34.64,-120.46,64.0,6.93
Mataura,100,NZ,1599963086,97,-46.19,168.86,48.0,1.99
Severo-Kuril'sk,83,RU,1599963087,79,50.68,156.12,51.22,22.48
Thompson,75,CA,1599963087,80,55.74,-97.86,41.0,5.82
Cabo San Lucas,40,MX,1599963065,78,22.89,-109.91,82.99,9.17
Albany,0,US,1599962925,99,42.6,-73.97,62.01,7.0
Vestmanna,99,FO,1599963087,87,62.16,-7.17,46.4,8.05
Kapaa,20,US,1599963088,55,22.08,-159.32,87.8,9.17
Chokurdakh,0,RU,1599963088,46,70.63,147.92,56.79,5.35
Esperance,0,AU,1599963088,72,-33.87,121.9,60.8,5.82
Rikitea,47,PF,1599963089,82,-23.12,-134.97,73.56,10.65
Bogatyr',1,RU,1599963089,93,53.43,49.95,46.4,6.71
Qaqortoq,77,GL,1599963089,47,60.72,-46.03,35.6,6.93
Chake Chake,63,TZ,1599963089,86,-5.25,39.77,74.35,7.99
Mount Gambier,40,AU,1599963090,62,-37.83,140.77,57.2,14.99
Aras,0,ES,1599963090,82,42.56,-2.36,60.8,0.87
Suntar,100,RU,1599963090,91,62.14,117.63,49.05,4.83
Punta Arenas,100,CL,1599962799,93,-53.15,-70.92,39.2,18.34
Nanortalik,75,GL,1599963091,75,60.14,-45.24,38.01,1.03
Phalombe,35,MW,1599963091,65,-15.81,35.65,62.46,3.67
Abéché,84,TD,1599963092,80,13.83,20.83,77.2,7.0
Butaritari,84,KI,1599963092,72,3.07,172.79,81.7,13.62
Dunedin,100,NZ,1599963093,83,-45.87,170.5,51.01,15.99
Flinders,100,AU,1599963093,41,-34.58,150.86,75.0,13.0
Longyearbyen,75,SJ,1599963093,90,78.22,15.64,37.4,3.36
Port Alfred,75,ZA,1599963094,45,-33.59,26.89,69.22,6.85
Cape Town,75,ZA,1599963094,93,-33.93,18.42,57.0,18.34
Vila Velha,19,BR,1599963094,83,-20.33,-40.29,77.0,6.93
Kaitangata,100,NZ,1599963095,86,-46.28,169.85,50.0,4.0
Yar-Sale,100,RU,1599963095,88,66.83,70.83,50.18,5.41
Dingle,52,PH,1599963095,72,11.0,122.67,85.55,5.41
Sistranda,75,NO,1599963096,87,63.73,8.83,50.0,28.86
São João Batista,91,BR,1599963096,97,-27.28,-48.85,64.99,0.45
Salinópolis,78,BR,1599963097,83,-0.61,-47.36,80.08,12.53
East London,4,ZA,1599963097,39,-33.02,27.91,73.56,4.68
Pevek,0,RU,1599963097,79,69.7,170.31,44.26,3.83
Hawera,75,NZ,1599962955,80,-39.59,174.28,57.0,11.99
Chernushka,89,RU,1599963098,92,56.51,56.08,41.74,3.0
Portland,90,US,1599962584,63,45.52,-122.68,64.4,1.9
New Baltimore,75,US,1599963098,100,42.68,-82.74,69.01,4.7
Saldanha,100,ZA,1599963098,87,-33.01,17.94,57.2,8.05
Avarua,0,CK,1599963098,78,-21.21,-159.78,82.4,9.17
Ushuaia,75,AR,1599963099,89,-54.8,-68.3,41.0,6.93
Lagoa,0,PT,1599963099,73,39.05,-27.98,70.57,6.13
Tabas,0,IR,1599963100,21,33.6,56.92,69.8,2.24
Tasiilaq,99,GL,1599963100,74,65.61,-37.64,33.8,1.81
Saskylakh,40,RU,1599963100,56,71.92,114.08,50.79,4.79
Castro,0,BR,1599963100,40,-24.79,-50.01,67.57,2.86
Neyshabur,0,IR,1599963101,45,36.21,58.8,55.44,0.49
Warrnambool,0,AU,1599963101,73,-38.38,142.48,55.99,8.99
Geraldton,0,AU,1599963101,49,-28.77,114.6,69.8,18.34
Kaikalūr,75,IN,1599963101,94,16.57,81.2,77.0,8.05
Hong Kong,99,HK,1599962990,74,22.29,114.16,84.99,5.01
Jamestown,90,US,1599963102,88,42.1,-79.24,66.0,11.41
Breves,5,BR,1599963102,85,-1.68,-50.48,76.78,4.03
Margate,86,GB,1599963102,91,51.38,1.39,60.01,3.0
Khatanga,56,RU,1599963103,66,71.97,102.5,52.5,7.36
Shahr-e Bābak,0,IR,1599963103,30,30.12,55.12,59.68,7.34
Richards Bay,0,ZA,1599963103,81,-28.78,32.04,66.25,15.3
Dzilam González,94,MX,1599963104,87,21.28,-88.93,77.76,2.37
Qaanaaq,93,GL,1599963104,86,77.48,-69.36,25.47,8.66
Cherskiy,1,RU,1599963104,53,68.75,161.3,51.96,6.93
Miramar,40,US,1599963104,100,25.99,-80.23,77.0,10.29
Tarakan,100,ID,1599963105,76,3.3,117.63,82.26,5.32
Belaya Gora,0,RU,1599963105,40,68.53,146.42,57.97,1.57
Beringovskiy,100,RU,1599963105,91,63.05,179.32,48.2,35.41
Bayan,100,CN,1599963106,69,46.08,127.4,63.0,4.72
Port Elizabeth,91,ZA,1599963106,37,-33.92,25.57,68.0,6.93
Laas,5,IT,1599963106,93,46.62,10.7,59.0,3.36
Uchaly,0,RU,1599963106,94,54.3,59.45,41.5,4.41
Hobart,20,AU,1599963106,41,-42.88,147.33,59.0,19.46
Bathsheba,20,BB,1599963107,88,13.22,-59.52,78.8,2.24
Westport,1,US,1599963107,63,41.14,-73.36,64.99,12.75
Arraial do Cabo,11,BR,1599963108,80,-22.97,-42.03,72.79,30.0
Mount Isa,0,AU,1599963108,23,-20.73,139.5,84.2,11.41
Borogontsy,100,RU,1599963108,70,62.67,131.17,54.54,3.91
Kula,0,TR,1599963109,78,38.55,28.65,62.53,1.28
Chara,82,RU,1599963109,51,56.91,118.26,64.53,2.93
Ponta do Sol,20,PT,1599963109,88,32.67,-17.1,68.0,2.24
Samarai,17,PG,1599963109,74,-10.62,150.67,77.38,11.45
Port Hedland,0,AU,1599963110,16,-20.32,118.57,93.2,18.34
Lázaro Cárdenas,99,MX,1599962952,82,17.96,-102.2,80.78,0.87
Nelson Bay,100,AU,1599963110,43,-32.72,152.15,75.0,16.11
Retalhuleu,100,GT,1599963110,95,14.53,-91.68,68.0,2.13
Mnogovershinnyy,44,RU,1599963111,47,53.94,139.92,62.85,1.07
Mar del Plata,0,AR,1599962922,61,-38.0,-57.56,52.0,9.17
Sitka,75,US,1599963111,59,57.05,-135.33,60.8,5.82
Torbay,75,CA,1599963111,81,47.67,-52.73,54.0,10.29
Plácido de Castro,69,BR,1599963112,47,-10.34,-67.19,83.05,0.51
Pechora,100,RU,1599963112,95,65.15,57.22,41.4,7.52
Villazón,2,BO,1599963112,67,-22.09,-65.59,50.22,8.72
San Patricio,75,MX,1599963113,83,19.22,-104.7,84.2,11.41
Rawson,0,AR,1599963113,43,-43.3,-65.1,51.55,20.96
Naze,75,JP,1599963113,94,28.37,129.48,82.4,5.82
Hofn,0,IS,1599963113,65,64.25,-15.21,43.75,16.11
Sarāhan,0,IN,1599963114,51,31.52,77.8,63.57,1.97
Norman Wells,75,CA,1599963114,69,65.28,-126.83,39.2,13.87
Sovetskiy,1,RU,1599963114,92,61.36,63.58,42.53,6.53
Hermanus,80,ZA,1599963115,83,-34.42,19.23,57.99,7.0
Narsaq,87,GL,1599963115,47,60.92,-46.05,35.6,6.93
Kostomuksha,100,RU,1599963115,99,64.57,30.58,49.08,4.32
George Town,20,MY,1599963116,83,5.41,100.34,78.8,10.29
Stephenville,1,US,1599963116,73,32.22,-98.2,77.0,3.94
San Fernando del Valle de Catamarca,0,AR,1599963116,67,-28.47,-65.79,51.01,1.99
Kumhāri,40,IN,1599963117,94,21.27,81.52,80.6,4.7
Baykit,98,RU,1599963117,79,61.67,96.37,52.32,1.72
Tsimmerbude,40,RU,1599963117,82,54.67,20.13,60.01,11.18
Boa Vista,100,BR,1599963118,69,2.82,-60.67,82.4,2.24
Faya,29,SA,1599963118,22,18.39,42.45,66.2,2.68
Ascension,1,US,1599963118,88,30.22,-90.9,79.0,5.84
Manatí,9,PR,1599963119,89,18.43,-66.49,79.0,5.75
Mariehamn,0,AX,1599963119,71,60.1,19.93,53.6,12.75
Kenai,1,US,1599963119,33,60.55,-151.26,62.6,6.93
Bluff,100,NZ,1599963120,97,-46.6,168.33,48.0,1.99
Illapel,1,CL,1599963120,71,-31.63,-71.17,52.32,2.01
Vila Franca do Campo,40,PT,1599963120,88,37.72,-25.43,68.0,4.7
Lexington,75,US,1599963121,94,37.99,-84.48,73.0,8.05
Hasaki,75,JP,1599963121,88,35.73,140.83,81.0,3.36
Xam Nua,88,LA,1599963121,89,20.42,104.04,75.07,1.05
Trairi,61,BR,1599963121,79,-3.28,-39.27,77.74,13.29
Amlapura,20,ID,1599963122,79,-8.45,115.62,84.2,13.87
Yellowknife,90,CA,1599963122,87,62.46,-114.35,44.6,10.29
Frunze,0,UA,1599963122,50,48.67,38.75,50.31,5.55
Safranbolu,83,TR,1599963122,75,41.25,32.69,65.43,1.1
Bambous Virieux,40,MU,1599963123,88,-20.34,57.76,68.0,2.24
Guilin,75,CN,1599963068,78,25.28,110.29,77.0,4.47
Valparaíso,0,CL,1599962934,100,-33.04,-71.63,46.4,2.24
Ostrovnoy,100,RU,1599963124,91,68.05,39.51,48.81,12.26
Bengkulu,2,ID,1599963124,77,-3.8,102.27,80.55,7.23
Carauari,42,BR,1599963124,82,-4.88,-66.9,76.33,2.1
Upernavik,100,GL,1599963124,95,72.79,-56.15,30.74,9.53
Tanout,27,NE,1599963125,29,14.97,8.89,88.74,8.32
Itainópolis,14,BR,1599963125,36,-7.45,-41.48,77.61,9.51
Arrondissement de Saint-Denis,69,FR,1599963125,87,48.92,2.33,57.99,2.24
Cayenne,25,GF,1599963125,88,4.93,-52.33,78.8,3.36
Atuona,3,PF,1599963126,73,-9.8,-139.03,78.48,16.28
Oddur,100,SO,1599963126,78,4.12,43.89,72.0,16.89
Bakel,26,SN,1599963126,84,14.9,-12.46,78.58,12.35
Amahai,97,ID,1599963126,82,-3.33,128.92,80.24,10.76
Los Llanos de Aridane,22,ES,1599963127,73,28.66,-17.92,71.6,5.82
Palmares do Sul,100,BR,1599963127,95,-30.26,-50.51,64.0,10.29
Ulagan,0,RU,1599963127,51,50.63,87.96,44.89,0.65
Mackenzie,1,CA,1599963127,39,55.3,-123.17,64.4,3.36
Hilo,90,US,1599963128,54,19.73,-155.09,84.2,10.29
Khandyga,100,RU,1599963128,53,62.67,135.6,60.1,2.04
Hokitika,100,NZ,1599963097,84,-42.72,170.97,52.52,11.9
Bethel,1,US,1599963128,93,41.37,-73.41,57.0,4.45
Talnakh,99,RU,1599963129,87,69.49,88.4,51.8,13.42
Barrow,90,US,1599963129,93,71.29,-156.79,39.2,13.87
Santa Maria,96,BR,1599963129,100,-29.68,-53.81,62.6,5.82
Quatre Cocos,40,MU,1599963129,88,-20.21,57.76,68.0,2.24
Vangaindrano,38,MG,1599963130,89,-23.35,47.6,68.22,4.09
Chiknāyakanhalli,100,IN,1599963130,92,13.42,76.62,69.4,4.38
Saint Paul Harbor,1,US,1599962939,48,57.79,-152.41,60.8,6.93
Kavieng,60,PG,1599963130,76,-2.57,150.8,84.4,14.41
Carnarvon,0,AU,1599962920,33,-24.87,113.63,73.4,18.34
Asău,0,RO,1599963131,80,46.43,26.4,59.0,3.76
Playas,90,EC,1599963131,87,-2.63,-80.38,69.73,12.59
Marinette,90,US,1599963131,100,45.1,-87.63,64.4,9.17
Båtsfjord,95,NO,1599963132,81,70.63,29.72,43.7,4.65
Udalguri,80,IN,1599963132,86,26.77,92.13,79.66,1.77
Port Blair,100,IN,1599963132,76,11.67,92.75,83.37,7.52
Bredasdorp,97,ZA,1599963132,87,-34.53,20.04,57.2,4.7
Najrān,39,SA,1599963133,21,17.49,44.13,72.5,3.36
Foki,80,RU,1599963133,95,56.69,54.35,42.82,2.84
Ocós,75,GT,1599963133,94,14.51,-92.19,82.4,7.02
Tura,100,IN,1599963133,94,25.52,90.22,78.3,3.89
Tiksi,0,RU,1599963134,68,71.69,128.87,48.49,4.5
Tuktoyaktuk,90,CA,1599963134,88,69.45,-133.04,32.0,11.41
Fare,83,PF,1599963134,74,-16.7,-151.02,79.88,9.57
Cururupu,23,BR,1599963135,89,-1.83,-44.87,76.37,4.09
Busselton,8,AU,1599963135,56,-33.65,115.33,64.0,4.12
Talavera de la Reina,73,ES,1599963136,33,39.96,-4.83,75.52,12.1
Nhulunbuy,75,AU,1599963136,58,-12.23,136.77,82.4,14.99
Lata,87,PT,1599963136,55,40.16,-8.33,68.0,2.21
Ribeira Grande,35,PT,1599963136,78,38.52,-28.7,71.15,7.85
Provideniya,73,RU,1599963129,68,64.38,-173.3,45.82,15.57
Porto-Novo,40,BJ,1599963137,94,6.5,2.6,73.4,3.36
Vao,100,NC,1599963137,81,-22.67,167.48,67.96,20.8
Mahibadhoo,100,MV,1599963137,76,3.78,72.97,82.29,11.59
Ekibastuz,0,KZ,1599963138,41,51.67,75.37,55.74,8.21
Jhārgrām,100,IN,1599963138,81,22.45,86.98,82.6,5.82
Soyo,56,AO,1599963138,88,-6.13,12.37,73.6,9.04
Yumen,9,CN,1599963138,31,40.28,97.2,56.07,16.02
Bandarbeyla,24,SO,1599963139,68,9.49,50.81,79.72,19.35
Dikson,100,RU,1599963139,91,73.51,80.55,43.68,18.9
Iqaluit,75,CA,1599963139,85,63.75,-68.51,39.2,5.82
Nobeoka,95,JP,1599963139,64,32.58,131.67,80.01,3.0
Kem',100,RU,1599963140,95,64.96,34.58,51.85,10.0
Bilibino,60,RU,1599963140,47,68.05,166.44,50.43,2.75
Shizuishan,87,CN,1599963140,21,39.23,106.77,69.64,15.55
Poum,75,NC,1599963141,73,-20.23,164.02,72.72,15.61
Coahuayana Viejo,6,MX,1599963141,84,18.73,-103.68,79.5,0.87
Anadyr,75,RU,1599963141,70,64.75,177.48,48.2,24.61
Ankazobe,40,MG,1599963141,93,-18.32,47.12,53.6,4.7
Hithadhoo,100,MV,1599963142,68,-0.6,73.08,82.85,8.03
Lagos,20,NG,1599962889,100,6.58,3.75,71.6,8.05
Moose Factory,90,CA,1599963142,93,51.26,-80.61,57.2,10.29
Renqiu,92,CN,1599963142,66,38.7,116.09,74.26,6.2
Pedernales,16,DO,1599963143,72,18.04,-71.74,80.49,5.35
Kondinskoye,92,RU,1599963143,95,59.65,67.41,46.04,5.77
Tezu,96,IN,1599963143,84,27.92,96.17,77.47,0.98
Husavik,90,IS,1599963143,86,66.04,-17.34,39.2,9.17
New Norfolk,41,AU,1599963144,47,-42.78,147.06,59.0,5.99
Verāval,10,IN,1599963144,83,20.9,70.37,81.03,6.82
Vaini,75,TO,1599963144,68,-21.2,-175.2,71.6,12.75
Alenquer,5,BR,1599963145,88,-1.94,-54.74,80.6,3.36
Pitimbu,20,BR,1599963145,83,-7.47,-34.81,73.4,8.05
Airai,90,TL,1599963145,30,-8.93,125.41,75.04,7.23
Singapore,75,SG,1599962942,83,1.29,103.85,80.6,5.82
Seddon,40,AU,1599963146,76,-37.81,144.89,60.01,10.29
Healesville,83,AU,1599963146,89,-37.65,145.52,57.0,3.24
Padang,100,ID,1599963146,63,-0.95,100.35,82.2,1.34
Ilulissat,0,GL,1599963146,68,69.22,-51.1,30.2,1.12
Viedma,63,AR,1599963147,53,-40.81,-63.0,46.99,5.41
Rio Grande,100,BR,1599962917,95,-32.03,-52.1,57.0,1.01
Dhone,100,IN,1599963147,92,15.42,77.88,72.25,12.48
Salalah,75,OM,1599963147,74,17.02,54.09,80.6,5.82
Purpe,13,RU,1599963148,79,64.48,76.69,55.0,1.01
Nānākuli,90,US,1599963148,62,21.39,-158.15,87.01,11.41
Kruisfontein,96,ZA,1599963148,39,-34.0,24.73,66.99,3.0
Henties Bay,10,NA,1599963148,92,-22.12,14.28,55.99,1.99
Raudeberg,100,NO,1599963148,84,61.99,5.14,52.0,37.87
Srednekolymsk,0,RU,1599963149,44,67.45,153.68,55.49,4.59
Gamba,100,GA,1599963149,86,-2.65,10.0,74.53,7.67
Chifeng,63,CN,1599963149,70,42.27,118.96,62.11,5.91
Ancud,52,CL,1599963149,97,-41.87,-73.82,44.01,18.99
Ati,100,TD,1599963150,70,13.22,18.34,79.41,7.16
Leningradskiy,0,RU,1599963150,67,69.38,178.42,48.18,6.4
Ixtapa,75,MX,1599963150,83,20.7,-105.2,82.4,11.41
Puerto del Rosario,51,ES,1599963150,83,28.5,-13.86,73.4,8.05
Coquimbo,0,CL,1599963151,74,-29.95,-71.34,55.6,1.79
Souillac,40,MU,1599963151,88,-20.52,57.52,68.0,2.24
Keti Bandar,96,PK,1599963151,84,24.14,67.45,82.58,11.68
Gouré,100,NE,1599963151,74,13.98,10.27,81.0,3.0
Cidreira,100,BR,1599963152,95,-30.18,-50.21,63.3,10.47
Muzhi,73,RU,1599963152,74,65.37,64.67,48.47,11.54
North Bend,90,US,1599963152,93,43.41,-124.22,63.0,5.82
Yangi Marg`ilon,0,UZ,1599963152,44,40.43,71.72,59.0,4.7
Jinan,55,CN,1599963153,57,36.67,117.0,80.01,1.99
Kudahuvadhoo,100,MV,1599963153,78,2.67,72.89,82.4,12.73
Bilma,15,NE,1599963153,17,18.69,12.92,87.28,2.28
Fort Frances,1,CA,1599963153,93,48.6,-93.4,53.6,4.7
Palmer,0,US,1599963154,90,42.16,-72.33,55.0,4.14
Verkhnevilyuysk,100,RU,1599963154,96,63.45,120.32,47.05,5.41
La Santisima Trinidad,29,BO,1599963154,43,-14.83,-64.9,84.88,3.33
Caravelas,0,BR,1599963154,85,-17.71,-39.25,71.29,6.24
Puerto Ayora,98,EC,1599963155,91,-0.74,-90.35,66.99,5.01
Toowoomba,40,AU,1599963155,40,-27.55,151.97,71.6,6.93
Saint-Philippe,40,RE,1599963155,59,-21.36,55.77,64.4,8.05
Camacha,40,PT,1599963156,88,33.08,-16.33,69.8,6.4
Tūkrah,0,LY,1599963156,63,32.53,20.58,73.63,6.31
Lake Cowichan,90,CA,1599963156,82,48.83,-124.05,60.8,0.74
Molteno,2,ZA,1599963156,36,-31.4,26.36,57.31,15.46
Gushikawa,40,JP,1599963157,83,26.35,127.87,84.2,6.93
São Filipe,100,CV,1599963157,83,14.9,-24.5,79.18,19.77
Nanchang,100,CN,1599963157,78,28.68,115.88,73.9,9.4
San Miguel,100,SV,1599963037,90,13.48,-88.18,76.28,1.68
Nome,90,US,1599963158,76,64.5,-165.41,53.01,10.29
Matagami,90,CA,1599963158,71,49.75,-77.63,55.4,14.99
Radom,0,PL,1599963158,82,51.4,21.15,61.0,1.01
Águia Branca,10,BR,1599963158,92,-18.98,-40.74,65.32,1.83
Mossamedes,29,AO,1599963159,89,-15.2,12.15,62.73,11.25
Novobirilyussy,0,RU,1599963064,68,56.95,90.67,51.04,1.43
Bellmead,5,US,1599963160,78,31.59,-97.11,82.4,3.36
Broken Hill,40,AU,1599963160,59,-31.95,141.43,66.2,14.99
Lipin Bor,100,RU,1599963160,89,60.26,37.98,51.19,18.68
Linxia Chengguanzhen,100,CN,1599963160,68,35.6,103.21,58.55,7.38
Batemans Bay,100,AU,1599963161,78,-35.72,150.18,63.0,10.58
Constitución,3,CL,1599963161,79,-35.33,-72.42,49.1,11.7
Zhezkazgan,11,KZ,1599963161,32,47.8,67.71,60.82,3.94
Jāmadoba,80,IN,1599963161,72,23.72,86.4,84.07,5.57
Havøysund,100,NO,1599963162,93,71.0,24.66,46.4,5.82
Marataizes,0,BR,1599963122,82,-21.04,-40.82,71.53,20.31
Brandfort,0,ZA,1599963162,30,-28.7,26.46,57.2,12.75
College,75,US,1599963162,40,64.86,-147.8,53.6,9.17
San Pedro de Urabá,88,CO,1599963163,90,8.28,-76.38,75.83,3.38
Marabu,40,MY,1599963163,78,4.41,114.01,82.4,4.7
Gravdal,4,NO,1599963163,73,68.12,13.5,50.67,18.68
Laguna,90,US,1599963164,36,38.42,-121.42,86.0,3.49
Chingola,0,ZM,1599963164,60,-12.53,27.88,55.62,6.11
Karratha,0,AU,1599963164,23,-20.74,116.85,90.97,22.1
Micheweni,61,TZ,1599963164,85,-4.97,39.83,75.31,10.38
Tres Arroyos,0,AR,1599963165,62,-38.37,-60.28,50.45,12.88
Antofagasta,90,CL,1599963165,77,-23.65,-70.4,59.0,12.75
Pioner,0,RU,1599963165,70,55.32,85.95,48.2,2.24
Suez,0,EG,1599963165,84,29.97,32.53,74.32,9.6
Paka,40,MY,1599963166,88,4.64,103.44,78.8,2.77
Sāveh,0,IR,1599963166,48,35.02,50.36,65.7,2.57
Magadan,0,RU,1599963065,52,59.57,150.8,56.25,2.44
Olinda,75,BR,1599963166,65,-8.01,-34.86,78.8,12.75
Grindavik,90,IS,1599963167,70,63.84,-22.43,46.4,12.75
Songadh,100,IN,1599963167,89,21.17,73.57,77.68,3.78
Goderich,94,CA,1599963167,90,43.75,-81.72,69.01,1.99
Twentynine Palms,1,US,1599963168,8,34.14,-116.05,89.6,5.82
Tilichiki,100,RU,1599963168,75,60.47,166.1,46.49,30.33
Petropavlovka,100,RU,1599963168,60,50.61,105.32,48.18,4.81
Jalingo,100,NG,1599963168,95,8.88,11.37,72.75,2.13
